index,classification,name,club_page,external_url
T069,綜合性,管理顧問社,https://osa_activity.ntu.edu.tw/club/detail/sn/T069  ,https://www.facebook.com/ntuconsulting/
T070,服務性,泰北服務學習社,https://osa_activity.ntu.edu.tw/club/detail/sn/T070  ,https://www.facebook.com/ntuslint/
T077,學術性,商學研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T077  ,https://www.bizpro-taipei.com/
T080,自治性,醫學院研究生協會學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T080  ,https://www.facebook.com/NTUMCGSA
T084,學藝性,數位音樂創作社,https://osa_activity.ntu.edu.tw/club/detail/sn/T084  ,https://www.facebook.com/NTUDigitalMusic/
T097,服務性,氣球社,https://osa_activity.ntu.edu.tw/club/detail/sn/T097  ,https://www.facebook.com/NTUBalloon/
T103,自治性,公共衛生學院研究生學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T103  ,https://www.facebook.com/ntucphgsa
T116,學術性,產經共學社,https://osa_activity.ntu.edu.tw/club/detail/sn/T116  ,http://collaborator-tw.blogspot.tw
T135,學藝性,管弦樂指揮培訓社,https://osa_activity.ntu.edu.tw/club/detail/sn/T135  ,
T145,學術性,樹藝社,https://osa_activity.ntu.edu.tw/club/detail/sn/T145  ,
T150,自治性,高分子所學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T150  ,
T152,體適能,跑酷社,https://osa_activity.ntu.edu.tw/club/detail/sn/T152  ,https://www.facebook.com/%E5%8F%B0%E5%A4%A7%E8%B7%91%E9%85%B7%E7%A4%BE-NTU-Parkour-1537228813233958/
T161,自治性,公共事務研究所學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T161  ,無
T170,服務性,iPower社,https://osa_activity.ntu.edu.tw/club/detail/sn/T170  ,https://www.facebook.com/ipowerntu
T176,自治性,法律學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T176  ,https://www.facebook.com/NTULAW/
T181,聯誼性,哈佛學生交流會,https://osa_activity.ntu.edu.tw/club/detail/sn/T181  ,https://www.facebook.com/NTUHarvardStudentAssociation/
T184,自治性,臺灣文學研究所學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T184  ,www.gitl.ntu.edu.tw
T185,自治性,中國文學系國際班學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T185  ,https://www.instagram.com/ntu.chin/
T187,服務性,拾善團,https://osa_activity.ntu.edu.tw/club/detail/sn/T187  ,https://lin.ee/kbZk4mC
T209,服務性,小獅子服務社,https://osa_activity.ntu.edu.tw/club/detail/sn/T209  ,https://www.facebook.com/memories1949/
T215,體適能,公衛院女籃球隊,https://osa_activity.ntu.edu.tw/club/detail/sn/T215  ,
T219,體適能,飛盤社,https://osa_activity.ntu.edu.tw/club/detail/sn/T219  ,https://www.facebook.com/NTUFrisbee
T221,服務性,新創法律策略顧問社,https://osa_activity.ntu.edu.tw/club/detail/sn/T221  ,https://www.facebook.com/NTUCLSS/
T222,學術性,美食報導媒體策略研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T222  ,https://www.instagram.com/ntueater/?fbclid=IwZXh0bgNhZW0CMTEAAR2OQXwjzIr4xulRK5AV8N1sHcNwzYyrWASaD6WFwUCrKt9MWsaobK0h56Y_aem_f0ertt5hLgBh-USk6StyJg
T223,服務性,武塔小教室,https://osa_activity.ntu.edu.tw/club/detail/sn/T223  ,https://reurl.cc/QdVZE9
T226,自治性,腦與心智科學研究所學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T226  ,
T228,自治性,醫學工程學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T228  ,IG連結：https://www.instagram.com/ntu_bme/profilecard/?igsh=MW1wd2doYzc1ZnliYg== ；FB連結：https://www.facebook.com/profile.php?id=100069157148026
T230,服務性,兒童友善醫療服務社,https://osa_activity.ntu.edu.tw/club/detail/sn/T230  ,https://www.facebook.com/childnofear
T237,自治性,進修推廣學院學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T237  ,https://sites.google.com/view/ntu-pmfamily/
T239,服務性,國際學伴交流社,https://osa_activity.ntu.edu.tw/club/detail/sn/T239  ,
T244,服務性,東谷沙飛社,https://osa_activity.ntu.edu.tw/club/detail/sn/T244  ,https://www.facebook.com/tongkusaveqntu
T245,服務性,升學輔導種子社,https://osa_activity.ntu.edu.tw/club/detail/sn/T245  ,https://www.facebook.com/ntututorteam/
T247,綜合性,數位廣播社,https://osa_activity.ntu.edu.tw/club/detail/sn/T247  ,
T249,自治性,學士後護理學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T249  ,https://www.instagram.com/ntucmbsn/
T261,學術性,人工智慧應用社,https://osa_activity.ntu.edu.tw/club/detail/sn/T261  ,https://www.facebook.com/NTUAIClub
T267,服務性,無家者服務社,https://osa_activity.ntu.edu.tw/club/detail/sn/T267  ,https://www.facebook.com/NTUTreattheHomeless
T273,學術性,人生諸事會社,https://osa_activity.ntu.edu.tw/club/detail/sn/T273  ,
T281,學術性,行銷顧問社,https://osa_activity.ntu.edu.tw/club/detail/sn/T281  ,https://www.facebook.com/ntuscmarketingclub/
T282,學術性,資訊之芽社,https://osa_activity.ntu.edu.tw/club/detail/sn/T282  ,https://sprout.tw
T284,學術性,程式解題社,https://osa_activity.ntu.edu.tw/club/detail/sn/T284  ,https://ntucpc.org/
